question,answer
Can people who recover from COVID-19 be infected again?,"We know that for similar coronaviruses, infected people are unlikely to be re-infected shortly after they recover. However, because the immune response to COVID-19 is not yet understood, it is not yet known whether similar immune protection will be observed for patients who have recovered from COVID-19."
Is it safe to receive a package from an area where COVID-19 has been reported?,"Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low."
Is there a connection between COVID -19 and environment temperature?,"It is not known yet if weather and temperature changes impact or has any connection with COVID-19. At this time, it is not clear or known if the spread of COVID-19 will decrease when the weather becomes warmer."
"Can I catch the virus from being in an enclosed space (i.e. bus, subway) in close proximity to someone who doesn’t have respiratory symptoms?","Since the virus is transmitted through respiratory droplets, the risk of catching it from somebody who is asymptomatic, even a contact of a confirmed COVID-19 case, is low. However, in light of the pandemic, everyone should maintain social distancing, which means keeping at least 1 meter away from others, avoiding mass gatherings and areas with large numbers of people, and practicing frequent hand washing and hand sanitizing according to the recommendation."
. Should I start avoiding people of Asian descent and their businesses?,"The virus can affect anyone regardless of nationality, race and color. The Organization will not tolerate discrimination and encourages everyone to promote culturally appropriate and empathetic community engagement and to detect and rapidly respond to negative public perceptions and counter misinformation."
"When should we identify ourselves as ""being sick"" and stay at home?","Although a fever is a sure sign that you are sick enough not to come to work, anyone experiencing respiratory symptoms like coughing and sneezing should stay at home."
My colleague is sick but he/she insists that it is just the common cold and is reluctant to work from home. What steps can we take to enforce “staying at home when not well” amongst staff?,"While it is very likely that your colleague is only suffering from the common cold or flu, all precautions should, nevertheless, be taken. Managers should encourage staff members with flu symptoms to telecommute for some time until the symptoms have abated. Alternatively, if the staff member is feeling unfit, he/she should take sick leave. This is a sensible approach at any time to prevent the spreading of flu or other seasonal viruses. Supervisors are also encouraged to exercise flexibility in terms of using remote working arrangements if the staff member would like to limit their contact with others and work from home."
What can we do if we don’t have any hand sanitizers in the office building?,"You should contact the Facilities Management Service of your local UN duty station, organization or the building administration."
What is the process for evaluating the criticality of official travels and meetings?,UN Medical Directors recommend that UN managers and/or UN personnel undertake a risk assessment to evaluate the criticality of the proposed travel balanced against the risks to the traveler for any travel to or meetings in affected areas experiencing ongoing transmission of COVID-19.
UN Medical Directors recommend that UN managers and/or UN personnel undertake a risk assessment to evaluate the criticality of the proposed travel balanced against the risks to the traveler for any travel to or meetings in affected areas experiencing ongoing transmission of COVID-19.,"For meetings during the COVID-19 outbreak, the Division of Healthcare Management and Occupational Safety and Health (DHMOSH) has prepared the following guidelines for meeting organizers and participants which are available in the UN HR portal. UN offices should use these global guidelines to develop local ones in accordance with host country legislation. • The WHO has also released an interim guidance with key planning recommendations for mass gatherings in the context of the current COVID-19 outbreak."
I plan to travel to / have a meeting in countries or territories currently experiencing local transmission of COVID-19. Should I cancel this travel/meeting?,"While the WHO does not recommend and advises against the application of any travel restrictions based on the information currently available on COVID-19, as an occupational health measure, it is recommended that for all official travel, UN managers and/or UN personnel undertake a risk assessment to evaluate the criticality of the proposed travel balanced against the risks to the traveler for any travel to or meetings in affected areas experiencing ongoing transmission of COVID-19. This includes risks posed by both medical issues and evolving travel/border restrictions enacted by states parties. • Please be aware that local authorities may begin to implement travel restrictions and health screening measures for travelers entering or exiting the country. All UN personnel who are planning to travel should check with the destination countries’ embassy, consulate, or Ministry of Health and keep up to date with local health advice before and during your travel. You should also comply with any screening measures put in place by local authorities. • As the outbreak evolves, it can be difficult to predict the situation globally, and it would be prudent to make contingency arrangements should the need arise. Feel free to consult us further at dos-dhmosh-public-health@un.org as needed."
"What is the protocol for staff members returning to work after visiting COVID-19 affected countries (i.e., those with ongoing transmission)?","If you have just returned from an affected area, you should self-monitor for symptoms for 14 days after travel. • During that period, you should immediately seek medical attention should you develop any signs and symptoms, such as shortness of breath or cough. • Remember to share your previous travel history with your health care provider and make every effort to inform them by phone prior to visiting a medical facility and wear a medical mask when you seek medical care. • You should only return to work when you are well and completely free of symptoms. • HR personnel and managers are encouraged to exercise flexibility around remote working to support staff."
I just returned from travel to a country/area experiencing local transmission of COVID-19. I am well and have no symptoms. Can I go back to the workplace?,"For any UN personnel who are free of symptoms, and returning from country/area or territory experiencing local transmission of COVID-19, managers are encouraged to exercise flexibility in terms of using remote working arrangements for staff in these situations who would like to limit their contact with others and work from home for 14 days post-travel. This is not mandatory but is strongly encouraged. • Individuals returning from areas of outbreaks should be advised to review our health advisory on this Coronavirus Disease (COVID-19) page so that you have awareness about the disease. You should monitor yourself daily for signs of fever, respiratory symptoms (e.g., breathing difficulties, cough), and know where to seek medical attention if you are aware of any symptoms within yourself. You should monitor yourself for at least 14 days after your travel."
What about self-quarantining after returning from an area/country of high prevalence?,"If you have just returned from an affected area, you should self-monitor for symptoms for 14 days after travel. During that period, you should immediately seek medical attention should you develop any signs and symptoms, such as shortness of breath or cough. • Self-quarantine for 14 days is recommended when you have been exposed to contact with lab-confirmed COVID-19. • Since this is a rapidly evolving situation, many member states are imposing quarantine recommendations for travelers, which varies by country. We suggest monitoring the travel advisories issued from WHO and DHMOSH for up to date information"
Have medical insurance related questions?,Please refer to Frequently Asked Questions for UN staff on Medical Insurance in connection with the Novel Coronavirus (COVID-19) outbreak
What are the latest protocols and guidance for Medical Evacuation of staff members with severe respiratory infections related to COVID-19?,"For the latest information on normal Medevac procedure for staff, go to: https://hr.un.org/sites/hr.un.org/files/Coronavirus_MedevacGuidance_UN_RC_0.pdf • For information on special Medevac procedure organized by the WHO in cases where there are no ICU beds available in your country, see: https://hr.un.org/sites/hr.un.org/files/COVIDMEDEVAC%20UN%20and%20PARTNERS.pdf"
Should I get a face mask?,"Yes, you should wear a mask whenever you are in a public place where you will encounter other people. The coronavirus that causes COVID-19 can spread between people interacting in close proximity — for example, speaking, coughing, sneezing, or singing— even if those people do not symptoms. Learn more information about how masks help prevent the spread of COVID-19."
Can I make my own hand sanitizer?,There are no studies supporting the effectiveness of homemade hand sanitizer blend in killing the new coronavirus on people’s hands. Experts agree that the best method for cleaning hands is washing for at least 20 seconds with soap and water.
Can coronavirus live on objects? Mail from affected areas? Clothes?,"There is no evidence at present that items imported from affected areas and shipped or mailed over the course of days or weeks are spreading COVID-19. Although the new coronavirus weakens and dies over time outside of the human body, studies suggest that it can live on surfaces for a few hours or up to several days, depending on surface, temperature and other environmental factors. For instance, a small amount of the new coronavirus is still detectable on plastic surfaces for up to three days, on stainless steel for up to two days and up to one day on cardboard, but it’s at less than 0.1% of the starting virus material.

So far, evidence suggests that the virus does not survive as well on a soft surface (such as fabric) as it does on frequently touched hard surfaces like elevator buttons and door handles.

More research will provide information on the coronavirus and how long it lives on surfaces. In the meantime, wash your hands thoroughly after handling mail, and carefully dispose of all outer packaging."
Is it safe to order take-out?,"According to the Food and Drug Administration (FDA), there have not been any cases of COVID-19 known to be caused from eating food or handling food packaging."
Is grocery shopping safe during the coronavirus pandemic?,"It’s best not to make unnecessary trips, but if you need to go to a grocery store, it’s important to maintain social and physical distancing as you shop, and to clean your hands often while shopping and as soon as you get home."
Should I stop going to the gym?,"As the new coronavirus is spreading, be cautious about all possible exposures, including at the gym or fitness center. The virus isn’t spread through perspiration (sweat), but items touched by many people (barbells, etc.) could pose a risk. In order to practice social and physical distancing during the COVID-19 pandemic, it is best to avoid public places at this time."
Should I cancel my trip?,"At this time, social and physical distancing are important to follow, so overall, travel is discouraged. Outbreaks of the new coronavirus and COVID-19, the disease it causes, are occurring in the United States and in countries around the world. The Centers for Disease Control and Prevention (CDC) has updated travel information on a range of destinations.

Travelers should be cautious about cruise ship travel and situations that involve crowded places. You are less likely to catch the new coronavirus on airplanes because of circulation and filtering, but you may be asked about your infection risk when you book a flight. And be aware that you may be prevented from returning from certain sites should they be on lockdown."
Can humans get coronavirus from dogs or cats?,"there is little evidence at this time that such animals are easily infected with the virus under normal conditions, or could transmit it. The World Organisation for Animal Health in Paris, and in the U.S., the Department of Agriculture (USDA) and the Centers for Disease Control and Prevention (CDC), are closely monitoring the situation but do not recommend routine testing of animals. The cases of the tigers in the Bronx Zoo and, more recently, of the two pet cats in New York, should not be cause for public alarm but a reminder that the COVID-19 crisis is actively evolving and that we have yet to learn more about the virus and its effects on both human and animal health."
Knowing the Symptoms,"COVID-19 symptoms include:

Cough
Fever or chills
Shortness of breath or difficulty breathing
Muscle or body aches
Sore throat
New loss of taste or smell
Diarrhea
Headache
New fatigue
Nausea or vomiting
Congestion or runny nose"
Is the coronavirus worse than the flu? Why are there travel restrictions and canceled events?,"At present, there is no vaccine for this new coronavirus as there is for many forms of the flu. No one has immunity from the new coronavirus, because it’s new to human beings. The new coronavirus is contagious, and can cause severe disease, even death."
What is coronavirus fatality rate?,"Right now, it appears that COVID-19, the disease caused by the new coronavirus, causes more cases of severe disease and more deaths than the seasonal flu. People over age 85 have the highest risk of fatality and children under 19, the lowest, but this could change as more people are tested and trends become clearer. If, over time, widespread testing reveals more mild, non-fatal cases of COVID-19, the death rate will go down."
Can coronavirus live in heat? Will the outbreak stop when it gets warm outside?,"Several countries currently affected by the new coronavirus outbreak are experiencing summer weather. Some viral illnesses, like the flu, seem to be less common in warmer months, but it is still possible to catch them during that time. Investigations are exploring the effects of temperature and weather on the spread of this new coronavirus."
Why is it called a “coronavirus?”,"Corona means “crown,” and coronaviruses have a “crown” of protruding points on their surface that give them a characteristic appearance when seen under a microscope. Coronaviruses are a whole family of viruses; there are many."
What’s the difference between the new coronavirus and other coronaviruses?,"There are many different kinds of coronavirus. Some only affect animals. Some have been circulating among human beings for years, causing mild colds. Others have caused small, severe human disease outbreaks in the past, such as the coronaviruses that caused SARS in 2003 and MERS in 2012. The new coronavirus is different from these, and was only identified in December 2019."
Is the coronavirus spread by the airborne route?,"Possibly. In addition to spreading by respiratory droplets, smaller particles containing the coronavirus might linger in the air for longer periods of time. Scientific evidence suggests that small viral particles may remain aloft in the air for several hours under experimental conditions. People often catch COVID-19 after being indoors, close to infected people who may or may not have symptoms. All of this suggests that there may be an airborne component to the transmission of this virus.

The possibility of the coronavirus being contagious through the air is why it is so important to wear masks at all times, except when you are at home with your family. Masks prevent respiratory droplets from spreading, not only when you cough and sneeze, but also when you are talking, singing or exercising."
What is COVID-19?,"COVID-19, otherwise known as coronavirus disease 2019, is a new illness that affects your lungs and airways. It is particularly severe in older populations and people with underlying health conditions."
Are coronavirus and COVID-19 the same?,"The two terms are often used interchangeably, but COVID-19 is the name of the disease caused by a previously unknown virus called SARS-CoV-2. The virus is part of a family of coronaviruses that cause different illnesses, including the common cold and the flu."
When did COVID-19 start?,"The virus was discovered in Wuhan, China in December 2019 and has since spread around the world. It was declared a pandemic by the World Health Organization on 11 March 2020."
What are the common symptoms?,"Not everyone who has COVID-19 will have symptoms, and some people may not even know they have the virus. You can still pass COVID-19 on even if you have no symptoms, so it’s important to follow advice to stop the virus from spreading.

The most common symptoms of COVID-19 are a dry and continuous cough, fever and tiredness. Other flu-like symptoms such as a sore throat, aches and pains, headache or runny nose are also common. These symptoms can be managed at home and you will usually get better within a week.

Some people will become more seriously ill with COVID-19 and experience difficulty breathing or pneumonia. In these cases, it’s important to seek medical care. In severe cases, COVID-19 can lead to death."
When do symptoms start to appear?,"It can take up to 14 days for people to show symptoms, but most people notice them in the first four to five days."
What should I do if I think I have COVID-19?,"If you think you have COVID-19, stay at home and call your local health service for advice. Do not visit your clinic as you could pass the virus onto others.

The people you live with should also stay home for at least 14 days from when you first noticed symptoms.

Avoid close contact with others in your household while you’re ill. If you live with someone who’s more vulnerable, try to arrange for them to stay elsewhere.

Do not invite other people to come to your home to help look after you, as you will be putting them at risk of getting the virus."
Does COVID-19 need treatment?,"Around 80% of people who get COVID-19 will recover without needing special treatment at home, and usually within around seven days. Most people will only have mild symptoms similar to the common cold.

Around one in six people will become severely ill and develop difficulty breathing, in which case they will need hospital care. In serious cases COVID-19 can cause pneumonia."
Who is more vulnerable to COVID-19?,"The likelihood of becoming seriously ill from COVID-19 is higher for older people and those with severe underlying health issues, including high blood pressure, heart disease, lung disease, cancer or diabetes.

People with a weakened immune system – for example if they are having chemotherapy treatment for cancer, or have a low CD4 count as a result of HIV – are also at a higher risk of serious illness."
Can COVID-19 be cured?,"There’s no proven cure for COVID-19, but most people will recover fully without needing medical treatment.

If you’re unwell with COVID-19, resting, drinking lots of liquids, and taking paracetamol or other home remedies can help with symptoms.

If your symptoms don’t improve after seven days or if you have difficulty breathing and persistent pain in your chest, call your local health service immediately."
Are anti-HIV and anti-malaria drugs effective against COVID-19?,"As yet, there is no strong evidence that antiretroviral drugs used to treat HIV can be used to treat COVID-19. Several studies have shown promising results, however, the certainty of the evidence is very low due to limitations in the studies.

Clinical trials are also underway with two anti-malaria drugs – chloroquine and hydroxychloroquine. Currently, there is not enough data to assess how effective either of these medicines are in treating COVID-19, or preventing people from getting it.

Remember, taking any of these drugs without medical supervision is potentially very dangerous."
I am already taking anti-malarial or anti-HIV drugs – can I get COVID-19?,There is no evidence that people already taking anti-malarial or anti-HIV drugs will have any level of immunity to COVID-19. It’s best to continue to take any medication you have already been prescribed and to follow the advice to prevent COVID-19.
How is COVID-19 passed on?,"COVID-19 is spread through contact with respiratory droplets (droplets of saliva or mucus from the nose or mouth) from someone who has the virus. This mainly occurs when:

someone with the virus coughs or breathes and these droplets land on nearby surfaces and objects. The virus is then spread when another person comes into contact with the droplets and touches their own face, particularly eyes, nose or mouth

an infected person sneezes, coughs or breathes, and people around them breathe in these droplets."
Can COVID-19 be passed on through sex?,"There is no evidence that COVID-19 can be passed on through sexual fluids (semen, vaginal fluid, blood and anal mucus).

However, the virus is easily spread by coming into close contact with others, and through saliva when kissing. Some initial evidence has found COVID-19 can be spread through poop (faeces), so rimming (oral-anal sex) might increase your risk of getting the virus.

If you or your partner is unwell with COVID-19, it’s best to avoid having any sexual contact – including kissing and cuddling."
Can COVID-19 be passed from mother-to-child?,"With so few cases, it is unclear whether COVID-19 can be passed from a woman to her unborn or newborn baby.

Emerging evidence suggests that it may be possible for mothers to pass on COVID-19 to their babies through pregnancy or birth.1 However, this is still being investigated.

Pregnant women should continue to follow advice to protect themselves from the virus, and seek medical care straight away if they have symptoms.

There is currently no evidence that COVID-19 can be passed on through breastfeeding.2"
Can COVID-19 be transmitted through food?,"There is no evidence to suggest that COVID-19 can be passed on through food.

However, as with all types of infection, practising food safety will help to reduce any risk. You can do this by:

making sure animal products are cooked properly
washing your hands throughout the preparation of food
cleaning and disinfecting surfaces and utensils after cooking."
How can I stop the spread of COVID-19?,"The main ways you can stop the virus spreading are:

wash your hands regularly with soap and water for at least 40 seconds. If you don’t have access to clean water and soap, use an alcohol-based hand sanitizer and keep rubbing it into your hands for 20 seconds
avoid touching your face
sneeze or cough into a clean tissue, and then throw it away and wash your hands. If you don’t have a tissue, use the inside of your elbow to cover your mouth
stay at least one metre away from other people, especially if they are unwell."
What is social/physical distancing?,"People are advised to keep their distance from others to prevent COVID-19 from spreading.

Social distancing works by reducing the number of people you meet in a day, which slows the spread of the virus. This will help to stop the health system from becoming overwhelmed with large numbers of patients needing care at the same time.
The exact advice on how to do this will vary depending where you live."
Should I wear a fabric (cloth) mask?,"The World Health Organisation now recommends using face masks when you are not able to stay at least 1 meter away from others. This includes when you’re on public transport, inside shops, or any other time when you’re in a confined or crowded space. This advice applies primarily to places where COVID-19 is still being actively passed on in the community.

This is because we now have evidence that some people who get COVID-19 don’t get any symptoms but can still pass the virus on. Wearing fabric masks prevent these asymptomatic and seemingly healthy people from passing on the virus in public spaces. If you do have symptoms for COVID-19, you still need to stay home and self-isolate - wearing a mask is not enough. Fabric masks do not prevent the wearer from getting COVID-19.

Medical masks are in short supply globally. These should be prioritised for health workers, people with COVID-19 symptoms and those caring for them; and at-risk groups in situations when they can't guarantee a distance of one meter from others. "
Are people living with HIV more at risk?,"There is currently no evidence that people living with HIV are at a higher risk of being infected with coronavirus, the virus that causes COVID-19 illness. Our understanding of the risk of developing severe COVID-19 in people living with HIV is evolving. Current evidence suggests that HIV is less of a risk factor for severe COVID-19 than other health conditions, such as high blood pressure, heart disease, lung disease, cancer, diabetes, or being over a certain age.

People living with HIV who have a compromised immune system may be at greater risk and should take extra steps to prevent infection. This includes people with a low CD4 count (<200 copies/cell), a high viral load or a recent opportunistic infection.

The best way to stay healthy is by taking your antiretroviral treatment."
How can people living with HIV prepare for COVID-19?,"People living with HIV should follow the general prevention advice for COVID-19. It’s also important to:

continue taking your antiretroviral treatment (ART) as prescribed to keep your immune system healthy
stock up on ART so you have at least a 30-day supply, ideally three months if possible
make sure your immunisations/vaccinations are up to date (such as flu and pneumonia vaccines)
have a plan in place for staying at home, including how you will get hold of food and medicine and how to contact your healthcare facility if necessary
take care of yourself by eating well, exercising as best you can (even at home), and looking after your mental health."
How COVID-19 Spreads,"People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets coming from the nose or mouth when a person with COVID-19 coughs or breathes out. These droplets land on objects and surfaces around the person. Other people then catch COVID-19 by touching these objects or surfaces, and then their eyes, nose or mouth. People can also catch COVID-19 if they breath in droplets from a person with COVID-19 who coughs out or breathes out droplets. This is why it is important to stay 3-6 feet or about 1-2 meters away from a person who is sick."
"Symptoms, Testing and Treatment","The main symptoms of COVID-19 are fever, cough, and shortness of breath or difficulty breathing. Other symptoms include repeated shaking with chills, muscle pains, headache, sore throat and new loss of taste or smell.

Those who are ill may also have fatigue (tiredness), nasal congestion (stuffy nose), or diarrhea; however, many people who become infected do not have any symptoms. Most people who get COVID-19 get better without needing special treatment. However, some become very ill. Please talk to your doctor about any other symptoms that are severe or concerning to you."
Are the symptoms of COVID-19 different in children than adults?,"No. The symptoms of COVID-19 are similar in children and adults. However, children with confirmed COVID-19 have generally shown mild symptoms. Reported symptoms in children include cold-like symptoms, such as fever, runny nose, and cough. Vomiting and diarrhea have also been reported. It’s not known yet whether some children may be at higher risk for severe illness, for example, children with underlying medical conditions and special healthcare needs. There is much more to be learned about how the disease impacts children."
Who needs to be tested for COVID-19?,"The guidelines for COVID-19 testing vary by location, so check with your local health department or Ministry of Health. In general, only those who have symptoms or are at higher risk for serious illness from COVID-19 need to be tested. If you are having symptoms and feel you need to be tested, if at all possible, reach out to a medical provider by phone before seeking care in person."
What should I do if I think I am sick?,"If you think you have been exposed to COVID-19 and develop a fever and symptoms, such as cough or difficulty breathing, call your healthcare provider for medical advice. If you are sick, you should stay home and stay away from others as much as possible. Many people will be able to recover at home; however, be sure to get care if you think it is an emergency. If you seek care, call ahead to make sure they know you may have COVID-19 so that healthcare workers can protect themselves."
"Is there a vaccine, drug or treatment for COVID-19?","Not yet. To date, there is no vaccine and no specific medicine to prevent or treat COVID-19. People with serious illness should go to the hospital. Most patients do manage to recover from COVID-19.

Researchers are working to develop vaccines, but experts say that it will likely take 12-18 months for effective vaccines to become available."
Can anti-malarial drugs be used to treat or prevent COVID-19?,"The World Health Organization (WHO) is keeping up with research that is being done in hospitals and labs in response to COVID-19, including studies that look at anti-malarial drugs (chloroquine and its derivative, hydroxy-chloroquine) for treatment and/or prevention. Currently there is not enough evidence to say whether these medicines work for treating patients with COVID-19 or preventing people from getting COVID-19.

The research will show us in the next few weeks how the drugs work in treating COVID-19. Doctors will review the evidence to see if the drugs help. If you have COVID-19, you should consult your doctor about the drugs you should take to manage your symptoms."
What steps can my family take to reduce our risk of getting COVID-19?,"Practice everyday preventive actions to help reduce your risk of getting sick and remind everyone in your home to do the same. These actions are especially important for older adults and people who have chronic medical conditions:

Avoid close contact with people who are sick.
Stay home when you are sick, except to get medical care.
Cover your coughs and sneezes with the inside of your elbow or a tissue and throw the tissue in the trash. Then wash your hands.
Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before cooking or eating.
If you do not have soap and water, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty.
Clean and disinfect surfaces and objects that people touch a lot (e.g. phones, other electronics, tables, countertops, light switches, doorknobs, and cabinet handles)."
How should I clean and disinfect my home in order to protect myself and my family from COVID-19?,"If you think a surface may be infected, clean it with simple disinfectant to kill the virus and protect yourself and others. If surfaces are dirty, clean them using detergent or soap and water before you disinfect. After cleaning and disinfecting, clean your hands with an alcohol-based hand sanitizer or wash them with soap and water. Avoid touching your eyes, mouth, or nose.

On a regular basis, clean and disinfect frequently touched surfaces such as tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, faucets, and sinks."
What does it mean to practice ‘social distancing’?,"Keeping your distance from others (3-6 feet or 1-2 meters away).
Not taking public transportation, taxis, or ride-shares during this period.
Avoiding crowded places (for example: shopping centers, schools, workplaces, movie theaters, and places of worship such as churches, temples, synagogues, and mosques)."
Should I use a facemask or face cover to prevent COVID-19?,"We realize that there have been some changes on this topic. Why this change? There has been a growing realization that one way that the virus is spreading is through people who have COVID-19 but do not yet show any symptoms.  Therefore the current recommendation is that you should cover your mouth and nose with a cloth face cover when you are out in public, for example while going to the grocery store. This is to protect others from the risk of getting COVID-19, since you could spread the virus to others even if you do not feel sick.

The face cover should cover the mouth and nose completely. Face covers must not be shared, and each person should have their own face covers. It is useful to have two sets of such face covers so one can be washed while the other is used.

Cloth face covers should not be used by people who have trouble breathing, or children under age 2 years, or people who are unable to remove the mask without help.

The cloth face cover is not a substitute for social distancing. You should continue to keep 6 feet between yourself and others. Hand washing is still very important, and hands should be washed before wearing the face cover.

A medical/ surgical face mask should ONLY be used by people who have COVID-19 and are showing symptoms or by healthcare workers."
What resources are available to me if I am struggling with issues related to sexual or domestic violence during this time?,Help and support are available to you. Many services for people struggling with issues related to sexual and domestic violence are available remotely during this COVID-19 public health emergency. 
Who is at risk for serious complications from COVID-19?,"People of all ages can become infected with COVID-19, but some people are at higher risk of getting very sick from this illness. This includes:

Older adults
People who have underlying chronic medical conditions like heart disease, diabetes, lung disease
This does not, however, mean that other groups won’t fall sick or are immune from it. Everyone is at risk; some more than others."
 Are people with disabilities at higher risk for COVID-19 infection or severe illness?,"Most people with disabilities are not inherently at higher risk for becoming infected with or having severe illness from COVID-19.  Some people with physical limitations or other disabilities might be at a higher risk of infection because of their underlying medical condition.

You should talk with your healthcare provider if you have a question about your health or how your health condition is being managed."
What is corona virus,"Corona viruses are a large family of viruses which may cause illness in animals or humans. In humans, several coronaviruses are known to cause respiratory infections ranging from the common cold to more severe diseases such as Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS). The most recently discovered coronavirus causes coronavirus disease COVID-19. "
What is COVID-19?,"COVID-19 is the infectious disease caused by the most recently discovered corona virus. This new virus and disease were unknown before the outbreak began in Wuhan, China, in December 2019. "
What are the symptoms of COVID-19,"The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These symptoms are usually mild and begin gradually. Some people become infected but don’t develop any symptoms and don't feel unwell. Most people (about 80%) recover from the disease without needing special treatment. Around 1 out of every 6 people who gets COVID-19 becomes seriously ill and develops difficulty breathing. Older people, and those with underlying medical problems like high blood pressure, heart problems or diabetes, are more likely to develop serious illness. People with fever, cough and difficulty breathing should seek medical attention. "
"How does COVID-19 spread","People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales. These droplets land on objects and surfaces around the person. Other people then catch COVID-19 by touching these objects or surfaces, then touching their eyes, nose or mouth. People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets. This is why it is important to stay more than 1 meter (3 feet) away from a person who is sick. "
Can the virus that causes COVID-19 be transmitted through the air? ,Studies to date suggest that the virus that causes COVID-19 is mainly transmitted through contact with respiratory droplets rather than through the air. See previous answer on “How does COVID-19 spread?”
Can CoVID-19 be caught from a person who has no symptoms? ,"The main way the disease spreads is through respiratory droplets expelled by someone who is coughing. The risk of catching COVID-19 from someone with no symptoms at all is very low. However, many people with COVID-19 experience only mild symptoms. This is particularly true at the early stages of the disease. It is therefore possible to catch COVID-19 from someone who has, for example, just a mild cough and does not feel ill. "
Can I catch COVID-19 from the feces of someone with the disease?,"The risk of catching COVID-19 from the feces of an infected person appears to be low. While initial investigations suggest the virus may be present in feces in some cases, spread through this route is not a main feature of the outbreak. The ongoing research on the ways COVID-19 is spread and will continue to share new findings. Because this is a risk, however, it is another reason to clean hands regularly, after using the bathroom and before eating. 
"
"Protection measures for everyone ","Stay aware of the latest information on the COVID-19 outbreak, available on the national,state and local public health authority. Many countries around the world have seen cases of COVID-19 and several have seen outbreaks. Authorities in China and some other countries have succeeded in slowing or stopping their outbreaks. However, the situation is unpredictable so check regularly for the latest news. You can reduce your chances of being infected or spreading COVID19 by taking some simple precautions:
• Regularly and thoroughly clean your hands with an alcoholbased hand rub or wash them with soap and water.
Why? Washing your hands with soap and water or using alcohol-based hand rub kills viruses that may be on your hands.
• Maintain at least 1 metre (3 feet) distance between yourself and anyone who is coughing or sneezing. Why? When someone coughs or sneezes they spray small liquid droplets from their nose or mouth which may contain virus. If you are too close, you can breathe in the droplets, including the COVID-19 virus if the person coughing has the disease.
• Avoid touching eyes, nose and mouth. Why? Hands touch many surfaces and can pick up viruses. Once contaminated, hands can transfer the virus to your eyes, nose or mouth. From there, the virus can enter your body and can make you sick.
• Make sure you, and the people around you, follow good respiratory hygiene. This means covering your mouth and nose with your bent elbow or tissue when you cough or sneeze. Then dispose of the used tissue immediately. Why? Droplets spread virus. By following good respiratory hygiene you protect the people around you from viruses such as cold, flu and COVID-19.
• Stay home if you feel unwell. If you have a fever, cough and difficulty breathing, seek medical attention and call in advance. Follow the directions of your local health authority. Why? National and local authorities will have the most up to date information on the situation in your area. Calling in advance will allow your health care provider to quickly direct you to the right health facility. This will also protect you and help prevent spread
of viruses and other infections.
• Keep up to date on the latest COVID-19 hotspots (cities or local areas where COVID-19 is spreading widely). If possible, avoid traveling to places – especially if you are an older person or have diabetes, heart or lung disease. Why? You have a higher chance of catching COVID-19 in one of these areas."
"Protection measures for persons who are in or have recently visited (past
14 days) areas where COVID-19 is spreading","Follow the guidance outlined above (Protection measures for everyone)
Self-isolate by staying at home if you begin to feel unwell, even with mild symptoms such as headache, low grade fever (37.3 C or above) and slight runny nose, until you recover. If it is essential for you to have someone bring you supplies or to go out, e.g. to buy food, then wear a mask to avoid infecting other people. Why? Avoiding contact with others and visits to medical facilities will allow these facilities to operate more effectively and help protect you and others from possible COVID-19 and other viruses.
If you develop fever, cough and difficulty breathing, seek medical advice promptly as this may be due to a respiratory infection or other serious condition. Call in advance and tell your provider of any recent travel or contact with travelers. Why? Calling in advance will allow your health care provider to quickly direct you to the right health facility. This will also help to prevent possible spread of COVID-19 and other viruses. "
How likely am I to catch COVID-19?,"The risk depends on where you are - and more specifically, whether there is a COVID-19 outbreak unfolding there. For most people in most locations the risk of catching COVID-19 is still low. However, there are now places around the world (cities or areas) where the disease is spreading. For people living in, or visiting, these areas the risk of catching COVID-19 is higher. Governments and health authorities are taking vigorous action every time a new case of COVID-19 is identified. Be sure to comply with any local restrictions on travel, movement or large gatherings. Cooperating with disease control efforts will reduce your risk of catching or spreading COVID-19. COVID-19 outbreaks can be contained and transmission stopped, as has been shown in China and some other countries. Unfortunately, new outbreaks can emerge rapidly. It’s important to be aware of the situation where you are or intend to go. 
"
Should I worry about COVID-19?,"Illness due to COVID-19 infection is generally mild, especially for children and young adults. However, it can cause serious illness: about 1 in every 5 people who catch it need hospital care. It is therefore quite normal for people to worry about how the COVID-19 outbreak will affect them and their loved ones. We can channel our concerns into actions to protect ourselves, our loved ones and our communities. First and foremost among these actions is regular and thorough hand-washing and good respiratory hygiene. Secondly, keep informed and follow the advice of the local health authorities including any restrictions put in place on travel, movement and gatherings. "
